rbve_id,report_namePKO,hostilityGov_None,hostilityGov_VerbalRestrictions,hostilityGov_PhysicalRestrictions,hostilityGov_ViolentRestrictions,hostilityOther_None,hostilityOther_VerbalRestrictions,hostilityOther_PhysicalRestrictions,hostilityOther_ViolentRestrictions,abuseAllegations,abuseInvestigation,sexualViolenceAllegation,sexualViolenceInvestigation,DDRprogress
393,UNOMIG_S/2001/59,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
392,UNOMIG_S/2000/1023,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
391,UNOMIG_S/2000/697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
390,UNOMIG_S/2000/345,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
389,UNOMIG_S/2000/39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
388,UNMIK_S/2010/401,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
387,UNMIK_S/2010/169,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,COMPLETED
386,UNMIK_S/2010/5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,COMPLETED
385,UNMIK_S/2009/497,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
384,UNMIK_S/2009/300,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,COMPLETED
383,UNMIK_S/2009/149,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMPLETED
382,UNMIK_S/2008/692,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
